disp,qsec,drat,cyl,mpg,gear
160,16.46,3.9,6,21,4
160,17.02,3.9,6,21,4
108,18.61,3.85,4,22.8,4
258,19.44,3.08,6,21.4,3
360,17.02,3.15,8,18.7,3
225,20.22,2.76,6,18.1,3
360,15.84,3.21,8,14.3,3
146.7,20,3.69,4,24.4,4
140.8,22.9,3.92,4,22.8,4
167.6,18.3,3.92,6,19.2,4
167.6,18.9,3.92,6,17.8,4
275.8,17.4,3.07,8,16.4,3
275.8,17.6,3.07,8,17.3,3
275.8,18,3.07,8,15.2,3
472,17.98,2.93,8,10.4,3
460,17.82,3,8,10.4,3
440,17.42,3.23,8,14.7,3
78.7,19.47,4.08,4,32.4,4
75.7,18.52,4.93,4,30.4,4
71.1,19.9,4.22,4,33.9,4
120.1,20.01,3.7,4,21.5,3
318,16.87,2.76,8,15.5,3
304,17.3,3.15,8,15.2,3
350,15.41,3.73,8,13.3,3
400,17.05,3.08,8,19.2,3
79,18.9,4.08,4,27.3,4
120.3,16.7,4.43,4,26,5
95.1,16.9,3.77,4,30.4,5
351,14.5,4.22,8,15.8,5
145,15.5,3.62,6,19.7,5
301,14.6,3.54,8,15,5
121,18.6,4.11,4,21.4,4
