disp,mpg,gear,cyl,wt,qsec
160,21,4,6,2.62,16.46
160,21,4,6,2.875,17.02
108,22.8,4,4,2.32,18.61
258,21.4,3,6,3.215,19.44
360,18.7,3,8,3.44,17.02
225,18.1,3,6,3.46,20.22
360,14.3,3,8,3.57,15.84
146.7,24.4,4,4,3.19,20
140.8,22.8,4,4,3.15,22.9
167.6,19.2,4,6,3.44,18.3
167.6,17.8,4,6,3.44,18.9
275.8,16.4,3,8,4.07,17.4
275.8,17.3,3,8,3.73,17.6
275.8,15.2,3,8,3.78,18
472,10.4,3,8,5.25,17.98
460,10.4,3,8,5.424,17.82
440,14.7,3,8,5.345,17.42
78.7,32.4,4,4,2.2,19.47
75.7,30.4,4,4,1.615,18.52
71.1,33.9,4,4,1.835,19.9
120.1,21.5,3,4,2.465,20.01
318,15.5,3,8,3.52,16.87
304,15.2,3,8,3.435,17.3
350,13.3,3,8,3.84,15.41
400,19.2,3,8,3.845,17.05
79,27.3,4,4,1.935,18.9
120.3,26,5,4,2.14,16.7
95.1,30.4,5,4,1.513,16.9
351,15.8,5,8,3.17,14.5
145,19.7,5,6,2.77,15.5
301,15,5,8,3.57,14.6
121,21.4,4,4,2.78,18.6
